date,experiment_name,experiment_number,average_precision,AUROC
2020-02-11 10,pbmc,0,0.642,0.941
2020-02-11 10,kidney,0,0.652,0.756
2021-02-11 11,kidney,6,0.6556529157908413,0.7708304010670927
2021-02-11 11,kidney,1,0.6607756974710838,0.7726586445084818
2021-02-11 11,pbmc,4,0.6591329163786043,0.9271364908721599
2021-02-11 11,kidney,5,0.6494058766966985,0.7658514072862478
2021-02-11 11,kidney,2,0.6618481153467091,0.7730679879883625
2021-02-11 11,pbmc,3,0.6561663933351891,0.9281592671986435
2021-02-11 11,pbmc,1,0.6623743880515199,0.9226130098544348
2021-02-11 11,pbmc,6,0.6277683225071036,0.9207927916996268
2021-02-11 11,pbmc,2,0.6502136907750218,0.9275159493211569
2021-02-11 11,kidney,3,0.6467093639812479,0.7573174534495049
2021-02-11 11,kidney,4,0.6586798480352564,0.7664625647110882
2021-02-11 11,pbmc,5,0.6478040939493424,0.9225424292745276
2021-02-18 14,kidney,1,0.6462699623991646,0.7627879613475528
2021-02-18 14,pbmc,4,0.663326842485893,0.9165240840419175
2021-02-18 14,kidney,5,0.6480422575749873,0.7652822022156713
2021-02-18 14,kidney,2,0.648134236408012,0.7684026253229614
2021-02-18 14,pbmc,3,0.6697257411365286,0.9161077482696734
2021-02-18 14,pbmc,1,0.6660700438231723,0.916962444444143
2021-02-18 14,pbmc,6,0.6515373213882809,0.9138401321031976
2021-02-18 14,pbmc,2,0.6693514926787216,0.9162711036660809
2021-02-18 14,kidney,3,0.6492802667687769,0.7649097761990968
2021-02-18 14,kidney,4,0.6472856211876892,0.7633028207786451
2021-02-18 14,pbmc,5,0.6710936786375143,0.9192144568023591
2021-02-19 16,pbmc,4,0.6723676680997775,0.9177868779532147
2021-02-19 16,pbmc,3,0.6651878244617202,0.9157017827302478
2021-02-19 16,pbmc,1,0.6658168009292,0.9160364650338042
2021-02-19 16,pbmc,2,0.6746171723485587,0.9178513284655913
2021-02-19 16,pbmc,5,0.6647481223195565,0.918238273835011
